Week,No StoreID,Stores,Sales Report2,Sales Report,LY,YOY CHANGE%,SOB%,STORE PROFILE,BAY COUNT,Average Bay Sale,AREA
5,1046,Homesavers Monks Land Athlone (B),"€5,621.52","€5,621.52","€7,241.92",-22.40%,0.39%,M [MEDIUM] ,159,€35.36, Area 7 
5,1052,Homesavers Lismard Portlaoise (B),"€5,253.49","€5,253.49","€4,750.34",10.60%,0.37%,S [SMALL] ,125,€42.03, Area 6 
5,1056,Homesavers Swinford,"€4,611.24","€4,611.24","€5,998.41",-23.10%,0.32%,XS [EXTRA SMALL] ,95,€48.54, Area 4 
5,All,Total Sales,"€1,437,578.02","€1,437,578.02","€1,455,865.18",0.00%,0.00%,0,0, €-   , €-   
6,1031,Homesavers BALLYMALEY Ennis,"€79,397.73","€79,397.73","€82,439.26",-3.70%,5.38%,L [LARGE] ,536,€148.13, Area 1 
6,1001,Homesavers Limerick,"€76,313.47","€76,313.47","€77,355.61",-1.30%,5.17%,M+ [MEDIUM +] ,337,€226.45, Area 6 
6,1007,Homesavers Tullamore,"€75,256.99","€75,256.99","€67,016.97",12.30%,5.09%,L [LARGE] ,553,€136.09, Area 1 
6,1016,Homesavers Roscommon,"€71,005.28","€71,005.28","€65,472.94",8.40%,4.81%,XL [EXTRA LARGE] ,628,€113.07, Area 1 
6,1027,Homesavers Dundalk,"€69,766.87","€69,766.87","€59,318.33",17.60%,4.72%,M [MEDIUM] ,322,€216.67, Area 3 
6,1033,Homesavers Monaghan,"€67,197.62","€67,197.62","€59,292.57",13.30%,4.55%,L [LARGE] ,436,€154.12, Area 3 
6,1028,Homesavers Newcastle West,"€63,416.26","€63,416.26","€60,672.99",4.50%,4.29%,M+ [MEDIUM +] ,414,€153.18, Area 6 
6,1002,Homesavers Mullingar,"€63,061.86","€63,061.86","€46,464.26",35.70%,4.27%,M [MEDIUM] ,245,€257.40, Area 1 
6,1015,Homesavers Broomhill Tallaght,"€55,079.07","€55,079.07","€52,851.25",4.20%,3.73%,M+ [MEDIUM +] ,350,€157.37, Area 5 
6,1012,Homesavers Wexford,"€38,377.76","€38,377.76","€43,320.85",-11.40%,2.60%,M [MEDIUM] ,296,€129.65, Area 2 
6,1024,Homesavers Martyr Road Nenagh (a),"€36,280.48","€36,280.48","€36,650.80",-1.00%,2.46%,M+ [MEDIUM +] ,374,€97.01, Area 6 
6,1048,Homesavers CLONMULLEN Edenderry,"€35,221.90","€35,221.90","€29,565.46",19.10%,2.38%,M [MEDIUM] ,275,€128.08, Area 7 
6,1011,Homesavers Ballyfermot,"€33,307.95","€33,307.95","€25,375.07",31.30%,2.25%,M [MEDIUM] ,293,€113.68, Area 5 
6,1013,Homesavers Carlow Penny Lane,"€32,352.87","€32,352.87","€27,513.63",17.60%,2.19%,M+ [MEDIUM +] ,401,€80.68, Area 5 
6,1066,Homesavers Carrick-on-shannon,"€29,578.24","€29,578.24","€33,963.87",-12.90%,2.00%,M+ [MEDIUM +] ,373,€79.30, Area 4 
6,1029,Homesavers Tralee,"€29,174.68","€29,174.68","€39,395.51",-25.90%,1.98%,M [MEDIUM] ,310,€94.11, Area 6 
6,1043,Homesavers Westpoint Athlone (A),"€29,023.78","€29,023.78","€27,827.82",4.30%,1.96%,M [MEDIUM] ,288,€100.78, Area 7 
6,1030,Homesavers Arklow,"€28,914.87","€28,914.87","€31,839.54",-9.20%,1.96%,M [MEDIUM] ,278,€104.01, Area 5 
6,1053,Homesavers New Road Portlaoise,"€28,301.74","€28,301.74","€27,181.23",4.10%,1.92%,M [MEDIUM] ,219,€129.23, Area 6 
6,1025,Homesavers Kings meadow waterford,"€27,859.76","€27,859.76","€23,813.41",17.00%,1.89%,M+ [MEDIUM +] ,359,€77.60, Area 2 
6,1047,Homesavers Axis Centre Longford,"€26,831.05","€26,831.05","€27,707.61",-3.20%,1.82%,M [MEDIUM] ,249,€107.76, Area 7 
6,1014,Homesavers Wicklow,"€25,926.30","€25,926.30","€23,471.56",10.50%,1.76%,S [SMALL] ,178,€145.65, Area 5 
6,1054,Homesavers Milford Retail Park,"€24,426.19","€24,426.19","€23,485.57",4.00%,1.65%,M [MEDIUM] ,312,€78.29, Area 4 
6,1049,Homesavers The Glebe Donegal,"€24,083.33","€24,083.33","€18,461.33",30.50%,1.63%,M [MEDIUM] ,293,€82.20, Area 4 
6,1067,Homesavers Letterkenny Pearse Road,"€23,497.06","€23,497.06","€30,456.05",-22.80%,1.59%,M+ [MEDIUM +] ,418,€56.21, Area 4 
6,1059,Homesavers Ballyshannon,"€23,094.97","€23,094.97","€23,997.18",-3.80%,1.56%,M [MEDIUM] ,273,€84.60, Area 4 
6,1017,Homesavers Crumlin,"€22,314.97","€22,314.97","€20,505.42",8.80%,1.51%,S [SMALL] ,157,€142.13, Area 3 
6,1058,HOMESAVERS MARTYR ROAD NENAGH (B),"€21,026.44","€21,026.44","€20,931.23",0.50%,1.42%,M+ [MEDIUM +] ,302,€69.62, Area 6 
6,1060,Homesavers Riverside Galway,"€20,195.16","€20,195.16","€16,568.52",21.90%,1.37%,M+ [MEDIUM +] ,344,€58.71, Area 7 
6,1040,Homesavers Diskin Centre Athlone,"€20,045.53","€20,045.53","€21,643.64",-7.40%,1.36%,M [MEDIUM] ,322,€62.25, Area 7 
6,1032,Homesavers Midleton,"€19,889.24","€19,889.24","€21,931.79",-9.30%,1.35%,M [MEDIUM] ,211,€94.26, Area 8 
6,1006,Homesavers Waterford,"€19,343.74","€19,343.74","€18,051.58",7.20%,1.31%,M [MEDIUM] ,183,€105.70, Area 2 
6,1068,Homesavers Claremorris,"€18,363.56","€18,363.56", € -   ,,1.24%,M [MEDIUM] ,255,€72.01, Area 7 
6,1009,Homesavers Carlow Tullow Road U3,"€17,380.13","€17,380.13","€15,549.78",11.80%,1.18%,S [SMALL] ,163,€106.63, Area 5 
6,1063,Homesavers Briarhill Galway,"€17,254.79","€17,254.79","€17,650.71",-2.20%,1.17%,M [MEDIUM] ,236,€73.11, Area 7 
6,1042,Homesavers Rafter Street Enniscorthy,"€17,175.41","€17,175.41","€15,083.26",13.90%,1.16%,S [SMALL] ,130,€132.12, Area 2 
6,1020,Centz Patrick Street,"€16,768.89","€16,768.89","€16,904.45",-0.80%,1.14%,XS [EXTRA SMALL] ,75,€223.59, Area 3 
6,1021,Centz Kinvara,"€14,108.50","€14,108.50","€11,607.87",21.50%,0.96%,XS [EXTRA SMALL] ,68,€207.48, Area 3 
6,1065,Homesavers Bunclody,"€13,649.76","€13,649.76","€17,782.42",-23.20%,0.92%,M [MEDIUM] ,232,€58.84, Area 5 
6,1055,Homesavers Stranorlar business park,"€13,581.86","€13,581.86","€14,605.12",-7.00%,0.92%,M [MEDIUM] ,290,€46.83, Area 4 
6,1008,Homesavers Athy,"€12,897.89","€12,897.89","€10,896.48",18.40%,0.87%,S [SMALL] ,184,€70.10, Area 5 
6,1019,Centz Cork Street,"€11,988.16","€11,988.16","€8,638.53",38.80%,0.81%,XS [EXTRA SMALL] ,49,€244.66, Area 3 
6,1044,Homesavers WestGate Dungarvan,"€11,882.52","€11,882.52","€14,671.29",-19.00%,0.80%,M [MEDIUM] ,216,€55.01, Area 8 
6,1057,"Homesavers Carlow Tullow Road U1,2","€11,773.36","€11,773.36","€14,417.85",-18.30%,0.80%,M [MEDIUM] ,257,€45.81, Area 5 
6,1023,Homesavers Clane,"€11,601.15","€11,601.15","€10,997.03",5.50%,0.79%,XS [EXTRA SMALL] ,122,€95.09, Area 5 
6,1026,Homesavers Portlaoise,"€10,417.68","€10,417.68","€11,944.03",-12.80%,0.71%,M [MEDIUM] ,255,€40.85, Area 6 
6,1010,Homesavers Longford U4,"€8,481.44","€8,481.44","€9,728.04",-12.80%,0.57%,XS [EXTRA SMALL] ,125,€67.85, Area 7 
6,1061,Homesavers Charlestown MAYO,"€7,111.25","€7,111.25","€7,727.40",-8.00%,0.48%,XS [EXTRA SMALL] ,97,€73.31, Area 4 
6,1046,Homesavers Monks Land Athlone (B),"€6,667.02","€6,667.02","€5,199.65",28.20%,0.45%,M [MEDIUM] ,159,€41.93, Area 7 
6,1062,Homesavers Mountmellick LAOIS,"€5,919.27","€5,919.27","€5,199.14",13.90%,0.40%,XS [EXTRA SMALL] ,67,€88.35, Area 6 
6,1052,Homesavers Lismard Portlaoise (B),"€5,671.57","€5,671.57","€5,411.87",4.80%,0.38%,S [SMALL] ,125,€45.37, Area 6 
6,1056,Homesavers Swinford,"€4,847.79","€4,847.79","€5,875.64",-17.50%,0.33%,XS [EXTRA SMALL] ,95,€51.03, Area 4 
6,All,Total Sales,"€1,477,105.16","€1,477,105.16","€1,404,433.40",0.00%,0.00%,0,0, €-   , €-   
7,1001,Homesavers Limerick,"€83,152.12","€83,152.12","€72,001.68",15.50%,5.55%,M+ [MEDIUM +] ,337,€246.74, Area 6 
7,1031,Homesavers BALLYMALEY Ennis,"€78,374.37","€78,374.37","€70,816.46",10.70%,5.23%,L [LARGE] ,536,€146.22, Area 1 
7,1016,Homesavers Roscommon,"€77,817.90","€77,817.90","€54,971.73",41.60%,5.19%,XL [EXTRA LARGE] ,628,€123.91, Area 1 
7,1007,Homesavers Tullamore,"€74,988.72","€74,988.72","€64,016.60",17.10%,5.01%,L [LARGE] ,553,€135.60, Area 1 
7,1027,Homesavers Dundalk,"€68,707.50","€68,707.50","€50,835.30",35.20%,4.59%,M [MEDIUM] ,322,€213.38, Area 3 
7,1033,Homesavers Monaghan,"€67,795.15","€67,795.15","€54,283.23",24.90%,4.53%,L [LARGE] ,436,€155.49, Area 3 
7,1028,Homesavers Newcastle West,"€65,615.86","€65,615.86","€48,615.12",35.00%,4.38%,M+ [MEDIUM +] ,414,€158.49, Area 6 
7,1002,Homesavers Mullingar,"€62,014.66","€62,014.66","€43,824.64",41.50%,4.14%,M [MEDIUM] ,245,€253.12, Area 1 
7,1015,Homesavers Broomhill Tallaght,"€50,132.37","€50,132.37","€45,640.85",9.80%,3.35%,M+ [MEDIUM +] ,350,€143.24, Area 5 
7,1012,Homesavers Wexford,"€37,522.38","€37,522.38","€39,756.59",-5.60%,2.50%,M [MEDIUM] ,296,€126.76, Area 2 
7,1024,Homesavers Martyr Road Nenagh (a),"€36,196.16","€36,196.16","€30,628.45",18.20%,2.42%,M+ [MEDIUM +] ,374,€96.78, Area 6 
7,1048,Homesavers CLONMULLEN Edenderry,"€33,650.72","€33,650.72","€25,261.44",33.20%,2.25%,M [MEDIUM] ,275,€122.37, Area 7 
7,1011,Homesavers Ballyfermot,"€33,509.52","€33,509.52","€22,689.38",47.70%,2.24%,M [MEDIUM] ,293,€114.37, Area 5 
7,1013,Homesavers Carlow Penny Lane,"€33,279.68","€33,279.68","€23,957.97",38.90%,2.22%,M+ [MEDIUM +] ,401,€82.99, Area 5 
7,1066,Homesavers Carrick-on-shannon,"€31,859.33","€31,859.33","€32,160.08",-0.90%,2.13%,M+ [MEDIUM +] ,373,€85.41, Area 4 
7,1030,Homesavers Arklow,"€30,573.00","€30,573.00","€32,164.62",-4.90%,2.04%,M [MEDIUM] ,278,€109.97, Area 5 
7,1054,Homesavers Milford Retail Park,"€27,991.95","€27,991.95","€23,438.13",19.40%,1.87%,M [MEDIUM] ,312,€89.72, Area 4 
7,1043,Homesavers Westpoint Athlone (A),"€27,968.57","€27,968.57","€25,744.51",8.60%,1.87%,M [MEDIUM] ,288,€97.11, Area 7 
7,1047,Homesavers Axis Centre Longford,"€26,844.65","€26,844.65","€25,526.63",5.20%,1.79%,M [MEDIUM] ,249,€107.81, Area 7 
7,1025,Homesavers Kings meadow waterford,"€26,682.55","€26,682.55","€24,210.71",10.20%,1.78%,M+ [MEDIUM +] ,359,€74.32, Area 2 
7,1029,Homesavers Tralee,"€26,534.48","€26,534.48","€31,164.83",-14.90%,1.77%,M [MEDIUM] ,310,€85.60, Area 6 
7,1053,Homesavers New Road Portlaoise,"€26,068.41","€26,068.41","€24,940.69",4.50%,1.74%,M [MEDIUM] ,219,€119.03, Area 6 
7,1014,Homesavers Wicklow,"€25,866.47","€25,866.47","€22,950.33",12.70%,1.73%,S [SMALL] ,178,€145.32, Area 5 
7,1058,HOMESAVERS MARTYR ROAD NENAGH (B),"€23,787.99","€23,787.99","€18,624.86",27.70%,1.59%,M+ [MEDIUM +] ,302,€78.77, Area 6 
7,1059,Homesavers Ballyshannon,"€22,989.74","€22,989.74","€21,253.99",8.20%,1.53%,M [MEDIUM] ,273,€84.21, Area 4 
7,1049,Homesavers The Glebe Donegal,"€22,558.53","€22,558.53","€21,196.30",6.40%,1.51%,M [MEDIUM] ,293,€76.99, Area 4 
7,1017,Homesavers Crumlin,"€22,396.15","€22,396.15","€18,709.50",19.70%,1.49%,S [SMALL] ,157,€142.65, Area 3 
7,1067,Homesavers Letterkenny Pearse Road,"€22,254.08","€22,254.08","€25,301.31",-12.00%,1.49%,M+ [MEDIUM +] ,418,€53.24, Area 4 
7,1032,Homesavers Midleton,"€20,246.88","€20,246.88","€19,459.29",4.00%,1.35%,M [MEDIUM] ,211,€95.96, Area 8 
7,1006,Homesavers Waterford,"€20,133.02","€20,133.02","€15,085.26",33.50%,1.34%,M [MEDIUM] ,183,€110.02, Area 2 
7,1040,Homesavers Diskin Centre Athlone,"€20,021.37","€20,021.37","€17,668.06",13.30%,1.34%,M [MEDIUM] ,322,€62.18, Area 7 
7,1060,Homesavers Riverside Galway,"€19,980.79","€19,980.79","€16,705.64",19.60%,1.33%,M+ [MEDIUM +] ,344,€58.08, Area 7 
7,1063,Homesavers Briarhill Galway,"€19,105.28","€19,105.28","€16,502.53",15.80%,1.28%,M [MEDIUM] ,236,€80.95, Area 7 
7,1068,Homesavers Claremorris,"€18,872.83","€18,872.83", € -   ,,1.26%,M [MEDIUM] ,255,€74.01, Area 7 
7,1042,Homesavers Rafter Street Enniscorthy,"€18,104.62","€18,104.62","€14,872.03",21.70%,1.21%,S [SMALL] ,130,€139.27, Area 2 
7,1009,Homesavers Carlow Tullow Road U3,"€18,058.75","€18,058.75","€15,105.29",19.60%,1.21%,S [SMALL] ,163,€110.79, Area 5 
7,1020,Centz Patrick Street,"€17,925.19","€17,925.19","€12,658.97",41.60%,1.20%,XS [EXTRA SMALL] ,75,€239.00, Area 3 
7,1065,Homesavers Bunclody,"€16,430.73","€16,430.73","€13,374.06",22.90%,1.10%,M [MEDIUM] ,232,€70.82, Area 5 
7,1055,Homesavers Stranorlar business park,"€16,235.31","€16,235.31","€13,354.21",21.60%,1.08%,M [MEDIUM] ,290,€55.98, Area 4 
