Week,Quarter,Store, Total , CHRISTMAS , CLEARANCE , CLEARENCE , CONFECTIONERY , DIY , ELECTRICAL , FOOD , FROZEN FOOD , DD Gardening , GARDENING , GIFTWARES , Grocery Seasonal , DD Paint , H&B Gift , HEALTH & BEAUTY , HOMEWARES , HOUSEHOLD TEXTILES , INDOOR FURNITURE , INTERNAL USE , PAPER GOODS & CLEANING , PET FOOD , SOFT DRINKS , STATIONERY , TEXTILES , TOYS , NON ALCOHOLIC DRINKS 
31,3, Homesavers Claremorris ,"€16,188.71",€3.07, € -   , € -   ,"€1,000.97",€652.51,"€1,328.01","€1,412.03", € -   ,€43.77,€512.84,€978.80,€26.15, € -   ,€256.39,"€1,740.81","€1,565.22","€2,301.30",€465.03, € -   ,"€1,889.57",€452.92,€493.79,€455.29,€141.88,€468.36, € -   
31,3, Homesavers Crumlin ,"€19,815.34", € -   , € -   , € -   ,"€2,347.86",€558.24,"€1,151.48","€4,494.40",€121.67, € -   ,€316.91,€883.38,€12.79, € -   ,€220.30,"€1,169.75",€554.90,€344.87,€131.29, € -   ,"€2,122.49",€638.08,"€2,929.47",€371.92,€152.13,"€1,293.41", € -   
31,3, Homesavers Diskin Centre Athlone ,"€18,875.20", € -   , € -   , € -   ,"€1,377.10",€695.75,"€1,895.19","€1,747.36", € -   ,€45.25,€955.31,"€1,182.50",€6.16, € -   ,€258.16,"€1,763.12","€1,842.80","€1,018.13",€949.84, € -   ,"€1,668.07",€718.36,"€1,230.56",€257.88,€52.64,"€1,211.02", € -   
31,3, Homesavers Dundalk ,"€57,712.26", € -   , € -   , € -   ,"€6,191.51","€1,416.40","€3,497.48","€7,290.10", € -   ,€48.08,"€2,150.98","€2,734.69",€1.75,€49.96,"€1,228.77","€6,748.83","€5,904.19","€1,762.40","€1,553.18", € -   ,"€5,856.52","€2,410.88","€4,295.24","€1,798.72",€576.01,"€2,185.71",€10.86
31,3, Homesavers WestGate Dungarvan ,"€10,742.40",€3.30, € -   , € -   , € -   ,€924.46,"€1,340.51", € -   , € -   ,€36.08,"€1,245.32",€928.24, € -   ,€68.25,€190.00,€12.41,"€1,329.32","€1,310.39",€574.76, € -   ,"€1,326.34",€915.68, € -   ,€351.81, € -   ,€185.53, € -   
31,3, Homesavers Clonmullen Edenderry ,"€28,176.32", € -   , € -   , € -   ,"€1,544.40",€898.24,"€2,716.24","€1,912.39", € -   ,€21.00,"€1,280.96","€1,958.60",€2.02,€15.28,€667.31,"€2,121.03","€3,298.39","€1,782.19","€1,693.19", € -   ,"€2,693.76","€1,415.17","€1,411.08","€1,072.22",€248.29,"€1,419.11",€5.45
31,3, Homesavers BALLYMALEY Ennis ,"€65,680.59", € -   ,€4.99, € -   ,"€3,307.29","€2,897.83","€5,694.79","€4,085.96", € -   ,€74.40,"€3,208.80","€5,189.71",€32.96,€612.78,"€1,289.40","€3,957.32","€8,461.08","€3,284.57","€5,996.00", € -   ,"€4,784.69","€2,033.29","€2,414.56","€2,943.78",€437.28,"€4,947.08",€22.03
31,3, Homesavers Rafter Street Enniscorthy ,"€14,450.16", € -   , € -   , € -   ,"€1,857.70",€446.11,"€1,039.43","€2,018.89", € -   ,€7.25,€616.26,"€1,005.88", € -   ,€34.66,€212.40,"€1,361.36",€697.05,€407.44,€111.61, € -   ,"€1,185.15",€428.96,"€1,696.62",€157.07,€79.57,"€1,086.75", € -   
31,3, Homesavers Kings meadow waterford ,"€21,131.92",€50.09, € -   , € -   ,€3.14,€840.34,"€2,003.14",€11.31, € -   ,€23.24,"€2,139.85","€1,327.50", € -   ,€191.54,€892.20,"€2,388.68","€1,967.22","€1,135.36","€1,980.85", € -   ,"€2,393.52","€1,817.23", € -   ,€543.21, € -   ,"€1,423.50", € -   
31,3, Homesavers Letterkenny Pearse Road ,"€25,095.82",€13.73, € -   , € -   ,"€1,519.52",€728.27,"€2,799.18","€2,127.74", € -   ,€433.13,€996.44,"€1,199.51",€30.32,€145.17,€417.96,"€1,851.86","€2,208.73","€1,593.02","€1,613.44", € -   ,"€2,611.16","€1,296.21","€1,503.44",€632.58,€118.21,"€1,256.20", € -   
